name,image1,image2,rating,phoneNumber,address,latitude,longitude,times,description,tags
더플레이스 판교점,shop1_1.jpg,shop1_2.jpg,4.97,0507-1375-0425,경기 성남시 분당구 동판교로177번길 25 1층,37.3973207561987,127.11356226927,10:00~22:00,정통 이탈리안을 위트있게 현대적으로 재해석한 Italian Bistro THE PLACE,이탈리아음식
Poke all day 포케&샐러드 판교점,shop2_1.png,shop2_2.png,4.47,0507-0284-4145,경기 성남시 분당구 분당내곡로 131 지하1층 25호,37.3954648629951,127.112113596734,10:00~20:30,포케(poke)는 하와이 언어로 '자르다'는 뜻을 가지며 신선한 날생선과 재료들을 네모나게 썰어 소스와 함께 밥이나 면을 버무려 먹는 하와이안 음식입니다.,다이어트;샐러드
천연발효 비건 나정빵집,shop3_1.jpg,shop3_2.jpg,4.66,0507-1363-0061,경기 성남시 분당구 동판교로52번길 13-9 1층,37.3869380035605,127.115427846905,11:30~19:30,'국내 최초 비건 인증 베이커리' NAJUNG 비건 (Vegan) 그리고 천연발효 (Natural fermentation),베이커리
더플레이스 송파파크하비오점,shop4_1.jpg,shop4_2.jpg,4.96,02-3402-0301,서울 송파구 송파대로 111 204동 B1,37.4796683841344,127.124913859704,11:00~21:30,정통 이탈리안을 위트있게 현대적으로 재해석한 Italian Bistro,이탈리아음식
